analysis,subset,metric,n,mean,sd,bootstrap_ci_low,bootstrap_ci_high,cohens_d,t_statistic,p_value,wilcoxon_p,positive_count,negative_count,zero_count,positive_rate,practical_effect,interpretation
Locus academic CAS vs zero,Life and Death / Created Life,academic_cas,6,0.05905676103300517,0.07916486549229973,0.004153344531853981,0.1182136557168431,0.7459971120490256,1.8273122741099614,0.1272067411894485,0.15625,5,1,0,0.8333333333333334,meaningful,positive Catholic alignment
Locus catholic CAS vs zero,Life and Death / Created Life,catholic_cas,6,0.15489751266108617,0.045047316288749056,0.1254972621798515,0.1914337967832883,3.4385514037774794,8.422696393585635,0.00038689795144982337,0.03125,6,0,0,1.0,strong,positive Catholic alignment
Locus ordinary to catholic shift,Life and Death / Created Life,ordinary_to_catholic_shift,6,0.12971931232346426,0.04595707579740733,0.0966294474278887,0.16251524486061586,2.8226189345750843,6.91397612802725,0.00048518647724894417,0.015625,6,0,0,1.0,strong,positive shift toward Catholic descriptors
Locus academic to catholic shift,Life and Death / Created Life,academic_to_catholic_shift,6,0.09584075162808099,0.0496168895891007,0.059839793211883964,0.13136959059370887,1.9316154725090675,4.731472286912243,0.0025946523444553542,0.015625,6,0,0,1.0,meaningful,positive shift toward Catholic descriptors
Locus bare CAS vs zero,Life and Death / Eschatology,bare_cas,6,0.02043997446695964,0.06259604399625318,-0.022270259261131284,0.06742449402809143,0.32653779954821294,0.7998509906243372,0.46009289439154033,0.6875,3,3,0,0.5,small,confidence interval overlaps zero
Locus ordinary CAS vs zero,Life and Death / Eschatology,ordinary_cas,6,0.035513236125310266,0.04716577995984414,0.0015030668841468041,0.069258384903272,0.7529449561852983,1.8443309470562177,0.12445255042506219,0.21875,5,1,0,0.8333333333333334,small,positive Catholic alignment
Locus academic CAS vs zero,Life and Death / Eschatology,academic_cas,6,0.03695544617043601,0.060322707976616485,-0.005903967056009506,0.07983314243869623,0.6126290978972866,1.500628691429915,0.1937471753504371,0.15625,4,2,0,0.6666666666666666,small,confidence interval overlaps zero
Locus catholic CAS vs zero,Life and Death / Eschatology,catholic_cas,6,0.07161931751502885,0.0459302893140521,0.040670622305737605,0.10720853143268161,1.5593047329905962,3.8195009493337286,0.012379431932461408,0.03125,6,0,0,1.0,meaningful,positive Catholic alignment
Locus ordinary to catholic shift,Life and Death / Eschatology,ordinary_to_catholic_shift,6,0.03610608138971859,0.03713573177229631,0.0075338870286941586,0.061069566756486914,0.972273324546526,2.3815735356584153,0.031520980313447355,0.078125,4,2,0,0.6666666666666666,small,positive shift toward Catholic descriptors
Locus academic to catholic shift,Life and Death / Eschatology,academic_to_catholic_shift,6,0.03466387134459284,0.03969728113039383,0.004934349987241966,0.061150745799144125,0.8732051757079351,2.1389071212417696,0.042717704842619386,0.078125,5,1,0,0.8333333333333334,small,positive shift toward Catholic descriptors
Locus bare CAS vs zero,Life and Death / Mortality,bare_cas,6,-0.08894250591595969,0.05743619305183995,-0.13070576985677082,-0.04705970784028373,-1.5485445881777578,-3.793144084983818,0.012717402477254664,0.03125,0,6,0,0.0,meaningful,negative Catholic alignment
Locus ordinary CAS vs zero,Life and Death / Mortality,ordinary_cas,6,-0.03454410632451376,0.08409250445958719,-0.09588478969203101,0.02725656198130713,-0.4107869844822474,-1.0062185049580976,0.36049379688770766,0.4375,2,4,0,0.3333333333333333,small,confidence interval overlaps zero
Locus academic CAS vs zero,Life and Death / Mortality,academic_cas,6,-0.022093736794259827,0.07033751354146765,-0.07372453146510656,0.028245180182986787,-0.3141102902540678,-0.7694099340799859,0.4764058425665086,0.5625,2,4,0,0.3333333333333333,small,confidence interval overlaps zero
Locus catholic CAS vs zero,Life and Death / Mortality,catholic_cas,6,0.08647223280535804,0.058700393446654335,0.04163790135747857,0.12742407644788425,1.4731116390887935,3.6083718499225146,0.015406800967409824,0.0625,5,1,0,0.8333333333333334,meaningful,positive Catholic alignment
Locus ordinary to catholic shift,Life and Death / Mortality,ordinary_to_catholic_shift,6,0.12101633912987181,0.03286777945051401,0.09506366182946499,0.14390616938471792,3.6819140554376353,9.0188107126037,0.00013994492658278066,0.015625,6,0,0,1.0,strong,positive shift toward Catholic descriptors
Locus academic to catholic shift,Life and Death / Mortality,academic_to_catholic_shift,6,0.10856596959961785,0.02162268241007983,0.09332210727863843,0.12519719252983733,5.020929759806663,12.298715945881225,3.145530638420235e-05,0.015625,6,0,0,1.0,strong,positive shift toward Catholic descriptors
Locus bare CAS vs zero,Life and Death / Pastoral Ethics,bare_cas,6,-0.11122236599524815,0.09321011991793424,-0.17749628076950708,-0.045247626304626455,-1.1932434599716488,-2.922837615843664,0.032905132405909705,0.03125,0,6,0,0.0,strong,negative Catholic alignment
Locus ordinary CAS vs zero,Life and Death / Pastoral Ethics,ordinary_cas,6,-0.0537697434425354,0.05939843896107845,-0.0983985940615336,-0.012361045181751249,-0.9052383258383049,-2.2173719939151444,0.07738353802104721,0.09375,1,5,0,0.16666666666666666,meaningful,negative Catholic alignment
Locus academic CAS vs zero,Life and Death / Pastoral Ethics,academic_cas,6,-0.03242921481529871,0.07151187339894119,-0.08550564414925044,0.018534496095445427,-0.4534801463581691,-1.1107949670601496,0.317197516101463,0.3125,2,4,0,0.3333333333333333,small,confidence interval overlaps zero
Locus catholic CAS vs zero,Life and Death / Pastoral Ethics,catholic_cas,6,0.06280452128913667,0.09008143916069832,-0.001309185392326775,0.130707926220364,0.6971971348847821,1.7077772305980938,0.14838163420470857,0.15625,4,2,0,0.6666666666666666,meaningful,confidence interval overlaps zero
Locus ordinary to catholic shift,Life and Death / Pastoral Ethics,ordinary_to_catholic_shift,6,0.11657426473167208,0.047814910755882824,0.08330158835070002,0.15211164951324463,2.4380316283938597,5.971933466331729,0.0009426327889853827,0.015625,6,0,0,1.0,strong,positive shift toward Catholic descriptors
Locus academic to catholic shift,Life and Death / Pastoral Ethics,academic_to_catholic_shift,6,0.09523373610443538,0.030218317496394472,0.07474006083276537,0.1189436654249827,3.1515234465253825,7.719624356404615,0.0002912172845642508,0.015625,6,0,0,1.0,meaningful,positive shift toward Catholic descriptors
Concept-type ordinary to Catholic shift,eschatological_doctrinal,ordinary_to_catholic_shift,5,0.045455806752045955,0.03268329826069907,0.015818860828876503,0.06663937131563821,1.3907961916654394,3.1099148274117496,0.017937425444210012,0.0625,4,1,0,0.8,small,positive shift toward Catholic descriptors
